company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
238.909595,227.944882,239.867847,231.178574,226.560001,235.369335,232.269146,244.513973,242.697693,245.518360
238.015662,231.868238,234.930318,232.407841,234.091063,226.893934,244.515984,238.888660,238.962576,243.284030
236.591952,234.832328,242.394536,232.023283,228.524152,231.722363,235.948375,234.937022,237.780101,241.033207
235.402906,239.106065,236.947966,232.518941,227.675274,232.034674,238.362070,240.163840,241.829517,236.165814
239.837329,239.249101,238.386787,231.417134,224.303441,233.849806,230.704926,242.188796,244.999509,238.994282
240.824514,243.076308,243.983113,232.217413,226.609150,229.578096,232.979509,239.016571,239.770750,230.427569
234.561681,242.575288,239.706362,231.456447,223.125865,232.576508,233.269109,245.104497,241.461076,242.461005
233.879097,239.956982,239.898404,235.927751,231.532027,228.862526,235.363724,243.540023,237.263679,242.074677
239.568985,238.853732,238.478409,237.567100,226.823532,231.407192,238.089589,240.108855,232.754259,237.389920
245.151399,237.142188,239.066681,236.134063,225.754393,229.765703,229.415216,239.022227,243.633984,234.593167
238.551843,237.176810,238.690596,243.144747,220.150652,233.182967,229.441600,235.183078,239.899058,235.232171
238.507023,234.977015,242.940117,239.056340,225.776850,229.471614,230.414424,239.767081,241.874936,231.425962
239.639819,236.485391,242.999004,238.716327,224.357637,230.240847,231.716342,241.252794,238.521291,236.136083
235.098861,231.554978,240.264840,237.340776,229.768124,241.762917,237.977336,239.206973,237.114361,234.680055
237.220539,234.874979,241.539671,240.118747,232.316168,239.552656,238.589243,228.094683,234.483946,235.382303
235.163324,234.393920,239.711043,234.601971,234.784714,238.291522,236.680775,235.420285,233.632986,236.116543
238.555676,236.622576,239.314147,232.456775,229.107424,235.135184,235.987360,237.283892,236.722826,241.675100
238.996409,234.215090,242.758635,235.884971,230.715911,227.005063,230.431361,242.651609,234.592759,241.435633
241.502603,241.820217,241.372195,234.769313,225.492480,233.195038,235.456063,239.318237,229.818999,240.598190
243.300265,241.316366,242.846585,234.965040,225.115215,233.377734,233.980838,235.993942,235.219839,242.237479
245.083626,236.972635,246.030633,229.889653,228.905383,238.715745,230.652264,235.660011,232.768365,237.122221
236.830784,237.729257,239.601347,233.473700,229.653351,235.846253,234.608420,235.428652,238.201892,237.125958
242.089992,235.203266,242.684627,230.934593,229.274939,232.633538,238.595508,235.178863,238.243290,232.108861
243.514930,237.777718,239.228387,232.179063,235.614031,232.131306,237.079608,233.387878,238.568318,234.229278
242.233251,241.375454,239.147284,236.474712,226.783707,233.807346,235.593024,231.980931,233.946692,238.331094
245.066447,236.918289,241.025330,231.883534,228.689307,235.592609,233.331041,231.195011,239.121578,238.664583
244.022074,237.751182,244.254699,228.773898,223.457337,234.121895,231.527925,232.333689,238.622903,242.882450
239.128222,238.600001,247.668853,229.017567,225.375048,232.415036,233.835570,234.653771,237.212443,236.764903
239.694260,236.685603,244.881139,231.599914,230.857316,231.282438,229.915761,239.424122,238.327998,236.609486
238.451488,237.790012,249.188424,232.015682,230.839160,236.828955,231.780169,234.631058,235.929876,236.638431
240.035563,236.327176,242.425608,232.164776,232.402747,236.035691,234.624276,236.471640,233.517264,238.703575
237.869158,233.190656,240.140121,230.686517,232.799531,235.231840,236.341147,235.565416,235.317606,239.651126
241.696706,234.706041,238.972468,233.563397,227.160189,231.338619,237.150152,231.497989,238.822802,240.082897
243.136397,239.955249,236.604720,233.302255,226.030913,232.102643,236.876226,242.196932,231.916529,238.976283
240.696722,239.958400,236.984529,231.972126,227.972411,236.322335,231.982394,239.704506,233.777706,237.235084
239.554558,239.160790,239.688821,230.694947,226.463076,234.532041,234.317793,241.308419,234.566531,236.582411
238.541150,240.557104,243.926930,234.776535,228.216060,239.773053,234.547798,238.215233,232.176912,232.977423
238.990487,237.926256,244.443784,233.229441,228.875487,242.042923,232.748865,238.964615,228.836913,231.728314
242.719617,237.280446,242.631212,234.301562,227.844838,236.962485,234.657565,239.662914,234.079706,235.217087
239.804833,240.796360,243.616978,235.497164,229.155701,236.226398,234.253097,233.094178,234.837863,239.433624
241.239290,239.207594,241.492699,232.622832,231.436333,238.352876,232.338713,235.693209,234.254106,236.453209
236.049233,240.327207,238.304971,234.221844,231.924540,233.881088,230.192172,234.486791,237.023000,246.567596
235.594516,240.836931,235.632723,231.701072,232.685756,237.828567,235.222665,236.040672,235.014586,239.312178
235.759461,244.406264,239.610213,227.175658,232.335452,235.418111,236.325618,233.205829,239.092142,234.430996
235.172659,239.898690,236.475883,234.717855,233.934054,235.013048,236.001847,235.544454,241.328373,230.083158
239.435153,237.632256,236.639412,233.567207,230.923935,238.682481,233.803075,235.216807,240.796058,230.195879
237.041365,231.473560,240.234547,232.605523,229.797699,237.980758,232.451253,240.594957,241.253796,235.366173
240.036707,236.400645,238.932805,232.326206,231.847177,235.986504,226.516487,242.015117,239.884341,242.299016
238.496622,236.854380,243.976861,234.927340,224.701488,234.692003,228.570318,241.750679,239.168931,236.795493
244.319031,230.904652,243.583512,235.138695,232.160904,234.060716,232.277063,235.493956,237.996184,234.794633
240.891078,232.627993,238.077667,236.102194,229.429188,233.324065,236.963507,238.455873,233.866302,240.202450
237.485233,242.719110,243.096875,229.675585,230.022163,224.553920,233.806303,237.848293,238.662849,241.667610
239.298797,243.721955,241.961330,228.865993,226.398285,231.630417,236.668247,238.029606,238.451989,237.712412
243.396075,235.929694,243.512915,226.435284,230.857913,229.833832,234.788058,241.953305,229.146615,245.259297
240.976311,234.192093,244.165812,230.385485,230.661913,232.312989,234.164318,239.666504,228.850302,240.142199
243.517442,230.535006,238.785071,228.665463,231.539850,239.309543,234.189494,246.194277,235.443307,233.784427
241.696371,233.657684,237.322851,226.916111,232.009067,235.614197,235.597238,248.261141,236.687963,232.883379
240.431522,233.534301,239.530232,227.066355,229.580530,234.674529,241.189580,242.109027,238.992650,232.537070
240.847061,235.649231,240.237866,232.136053,233.573902,229.999361,236.422638,241.710346,238.469735,233.612687
239.463918,232.397573,239.952621,235.575014,234.473708,228.250381,239.536330,239.217034,235.187095,236.932199
239.224446,238.860934,239.402005,232.763557,229.915503,233.564286,233.812749,236.251027,237.138764,234.838596
242.513039,238.466766,233.710258,238.578216,226.292899,232.637857,237.028777,234.491444,234.804396,238.915771
239.986822,239.389185,239.339616,233.494318,230.209430,233.262012,236.754139,233.623388,237.358898,237.767679
242.455309,238.542337,233.698862,229.003093,231.803016,233.573591,234.231106,238.990050,238.670261,234.543877
243.293278,237.687875,236.580582,229.975813,230.995233,235.840866,234.677738,237.713563,235.407634,236.555238
239.952574,241.531350,237.043000,232.736653,222.833096,231.356888,232.673020,229.557405,243.707653,243.049444
244.481166,238.633606,240.266624,235.881261,226.568139,229.337254,232.439472,229.499701,238.754232,238.087972
237.708403,236.177995,237.903489,236.219028,227.523244,231.893510,232.210872,237.224412,240.905662,240.731767
237.143727,235.575311,242.681587,230.667459,223.875560,231.961279,239.334709,237.105506,238.058878,237.748056
243.549666,231.395339,240.339134,225.535381,225.791789,233.697168,244.452462,238.649914,234.458989,237.156969
240.890867,238.797322,238.615935,231.930825,221.779800,234.891586,237.513726,238.211415,238.345256,235.925466
245.915930,234.557108,242.383629,225.325810,229.636577,234.486842,236.729494,236.312923,233.799879,236.068322
242.845876,235.303826,238.448523,228.011343,231.608406,236.535375,237.119391,235.533281,241.241567,236.810157
244.259636,233.388960,242.707495,229.331987,231.108130,233.238638,240.509736,235.944876,235.585708,244.430883
242.421175,231.418345,246.696803,229.670313,228.336967,236.979145,236.299456,236.074301,241.601322,233.343614
240.756232,237.119966,241.639939,224.830345,227.579276,244.893873,235.188135,233.062594,235.920099,234.428321
236.191916,241.570732,242.105026,225.736791,227.688680,240.702576,233.825398,236.880264,237.345277,237.650292
236.892062,234.795113,245.678880,228.726608,228.170568,238.619262,237.207712,242.406770,233.225729,236.841682
242.377244,234.527363,243.474433,233.954869,228.823732,238.498448,235.666113,238.484754,228.083958,239.045097
239.145721,235.819484,242.679023,234.072490,229.289534,235.974914,237.775646,234.260641,235.489318,238.349139
238.314957,239.446382,238.432617,231.805556,227.205878,239.177465,237.904322,230.624059,238.669962,240.831865
236.630054,239.363703,243.006864,229.369522,226.843643,236.887818,233.322309,231.828624,235.691723,238.864907
234.637968,240.804035,243.089374,225.729900,230.857526,241.316126,232.863977,230.888767,235.404657,241.493791
237.811031,245.856318,241.160437,229.697687,226.166963,238.852862,225.676514,235.346999,236.089989,242.423641
238.088038,235.991575,247.376019,230.950650,225.420398,235.086221,231.038520,235.377901,234.140959,243.375334
239.122034,238.101786,242.864910,233.628274,220.795809,235.589937,233.432835,232.873552,237.697545,239.161424
236.103441,232.466515,238.567977,232.265092,225.290536,241.479368,238.318935,236.841308,240.445723,235.677365
240.649042,232.163216,242.229013,230.864232,229.695750,237.381140,240.342033,235.711423,234.045259,237.809685
240.803324,237.033915,241.638399,228.305948,230.446979,228.387028,240.473253,236.529021,236.377679,236.301146
